Name,Shortname,Type,Sponsoring dept,Description,URL
Driving Standards Agency,DSA,Executive Agency,Department for Transport,"DSA is anExecutive agency within the Department for Transport. DSA works with the department and other motoring agencies (such as Driver and Vehicle Licensing Agency and Vehicle and Operator Services Agency) to deliver quality services that offer value for money.

DSA’s mission is ‘safe driving for life’. DSA sets standards for pre-driver education, driver trainers, supervising trainers, as well as carrying out theory and practical driving and riding tests.

DSA educates drivers to encourage them to continue improving their driving abilities beyond the practical driving test.

DSA’s foremost activity is to assess driving competence through theory and practical tests. DSA delivers tests from around 400 practical driving test centres. Theory tests are carried out at around 150 theory test centres.

DSA operates as a trading fund, financed almost entirely by the income generated from fees for its services. It plans to carry out in excess of two million tests in 2011-12. Income is expected to be approximately £200 million in the year. DSA aims to break even on statutory fees over a five-year period after achieving at least a 3.5 per cent return on capital employed.

Key to DSA’s business is ensuring that it operates in an economic and efficient manner. DSA will demonstrate continuing delivery of its financial responsibilities while maintaining customer service and satisfaction.",http://www.dft.gov.uk/dsa
Government Car and Despatch Agency,GCDA,Executive Agency,Department for Transport,"Government Cars and Government Mail are the government’s own services for moving people and documents safely and reliably throughout the UK.
We exist to help government departments and the wider public sector achieve efficiency and savings by providing these services direct.

Our status as part of government offers you some very significant advantages:

you do not usually need to go through a time-consuming tender process to use our services
as a not-for-profit organisation, we can also keep our prices consistently low
we offer real peace of mind, as all of our employees are security cleared civil servants
what’s more, our services are nationwide, so wherever you go, we’re with you",http://www.dft.gov.uk/gcda/
Highways Agency,Highways Agency,Executive Agency,Department for Transport,"The Highways Agency is anExecutive agency of the Department for Transport (DfT). A formal framework document (645KB PDF) sets out our respective roles and responsibilities and the governance of the relationship.

We have a small corporate centre in London and a further seven offices across the country. We also have traffic officers working on motorways (and some all-purpose trunk roads) based in seven Regional Control Centres and 31 outstations.

Our Board (65KB PDF)  is responsible for managing the delivery of the Agency's responsibilities and includes our ChiefExecutive, sixExecutive directors, and three nonExecutive directors. Directorate responsibilities can be seen in the organisation chart (100KB PDF) . Please also see the Department for Transport (DfT) organisation chart.

What we do….

We are responsible for operating, maintaining and improving the strategic road network in England on behalf of the Secretary of State for Transport. The network is made up of England's motorways and all-purpose trunk roads (the major A roads). Valued at over £88 billion, the network carries a third of all road traffic in England and two thirds of all heavy goods vehicle traffic.

We aim to meet the needs of road users by engaging with them and understanding the way our network impacts on them. We fulfil our role by working closely with our partners and contractors to deliver a safe and efficient network that meets the needs of all our customers.",http://www.highways.gov.uk/
Maritime and Coastguard Agency,MCA,Executive Agency,Department for Transport,"The Maritime and Coastguard Agency implements the government's maritime safety policy in the UK.and works to prevent the loss of life on the coast and at sea.

We provide a 24-hour maritime search and rescue service around the UK coast and in the international search and rescue region through HM Coastguard and inspect and survey ships to ensure that they are meeting UK and international safety rules. We also provide certification to seafarers, register vessels and respond to pollution from shipping and offshore installations.",http://www.dft.gov.uk/mca/
Vehicle and Operator Services Agency,VOSA,Executive Agency,Department for Transport,"The Vehicle and Operator Services Agency (VOSA) was formed on 1st April 2003 following the merger of the Vehicle Inspectorate and the Traffic Area Network division of the Department for Transport. VOSA provides a range of licensing, testing and enforcement services with the aim of improving the roadworthiness standards of vehicles ensuring the compliance of operators and drivers with road traffic legislation, and supporting the independent Traffic Commissioners…",http://www.dft.gov.uk/vosa/
Vehicle Certification Agency,VCA,Executive Agency,Department for Transport,"VCA is anExecutive Agency of the United Kingdom Department for Transport and the United Kingdom's national approval authority for new road vehicles, agricultural tractors and off-road vehicles. Our status allows close links with the UK Government and European policy formulation and enforcement of vehicle safety and environmental standards. We bring the authority and back-up of Government, but with the freedom to react to your changing needs.

Our main headquarters office is in Bristol, with an office and test facilities on the MIRA site at Nuneaton and an office at the Millbrook Proving Ground near Milton Keynes.  Worldwide we have offices in the US (long established offices in Northville Michigan, and Ashland Ohio), Asia-Pacific (Japan), Malaysia, China, India, Italy and Australia. We also have agents in many other locations around the world, enabling us to satisfy the needs of vehicle manufacturers wherever they are based.

We pride ourselves in providing expert international test and certification services for vehicles and vehicle parts. Our approval certificates are recognised without question throughout the European Community and the wider group of countries belonging to the European Economic Area and the Geneva-based United Nations organisation (ECE).",http://www.dft.gov.uk/vca/
Air Accidents Investigation Branch,AAIB,Other,Department for Transport,,http://www.aaib.gov.uk
Rail Accidents Investigation Branch,RAIB,Other,Department for Transport,,http://www.raib.gov.uk
The NHS Pay Review Body,NHSPRB,Advisory non-departmental public body,Department of Health,"The NHS Pay Review Body (NHSPRB) is an independent body composed of members from a variety of professional, academic and business backgrounds. It makes recommendations on the remuneration of all staff paid under Agenda for Change (AfC) and employed in the NHS (for details of the NHSPRB Terms of Reference, click here). NHSPRB’s recommendations apply to all staff in the NHS, with the exception of doctors, dentists and very senior managers. The remit group includes all staff in NHS England, Scotland, Wales and Northern Ireland and accounts for just under 1.5 million NHS staff (headcount). NHSPRB’s annual reports are submitted jointly to the Prime Minister, the Secretary of State for Health, and Ministers of the Scottish Government, the Welsh Assembly Government and the Northern IrelandExecutive.

The Review Body receives evidence on pay and related issues from the Governments, NHS Employers and staff organisations. It also conducts its own research on pay and related matters. NHSPRB members visit trusts and health units to meet staff and managers to gather information and views on pay and related issues and to gain a better understanding of the roles of staff within the remit groups.

Background
The NHS Pay Review Body was originally known as the Review Body for Nurses and Allied Health Professions (NAPRB) and was set up in 1983 to advise the Government on the pay of NHS nursing staff, midwives, health visitors, and the professions allied to medicine (PAMs).

Following the introduction of Agenda for Change in late 2004, the Review Body's remit was extended to cover all allied health and health care science professions, pharmacists, optometrists, applied psychologists and psychotherapists, as well as clinical support workers and technicians supporting these groups. To recognise this broader staff remit, the NAPRB became the Review Body for Nursing and Other Health Professions (NOHPRB).

In July 2007 the Review Body's remit was again extended, first to cover the remaining NHS staff not within its remit but who were nevertheless paid under the Agenda for Change pay system; and second to include staff working in Northern Ireland. The Review Body was renamed the NHS Pay Review Body to reflect these changes. New staff groups covered included ancillary and maintenance and estates staff (e.g. cleaners, porters, catering, domestics, electricians, plumbers, builders); administrative and clerical (e.g. medical secretaries, ward clerks, library services staff); administrative managers; and other groups such as IM&T (e.g. analysts, technicians); HR (e.g. assistants, advisors); finance (e.g. accountants, invoice clerks, salaries and wages staff) and chaplains.

The NHSPRB is registered with the Information Commissioner as a data controller. Its registration number is Z612735X.
For any enquiries, please contact
Ian Dunlop, Office of Manpower Economics, 6th Floor, Victoria House, Southampton Row, London, WC1B 4AD.
Tel: 020 7271 0490 Fax: 020 7271 0499 Email:ian.dunlop@bis.gsi.gov.uk",http://www.ome.uk.com/Example/NHS_Pay_Review_Body.aspx
Medicines and Healthcare Products Regulatory Agency,MHRA,Executive agency,Department of Health,,http://www.mhra.gov.uk
Care Quality Commission,CQC,Executive non-departmental public body,Department of Health,"We are the independent regulator of all health and social care services in England.

Our job is to make sure that care provided by hospitals, dentists, ambulances, care homes and services in people’s own homes and elsewhere meets government standards of quality and safety.",http://www.cqc.org.uk/
Health Protection Agency,HPA,Executive non-departmental public body,Department of Health,"The Health Protection Agency is an independent UK organisation that was set up by the government in 2003 to protect the public from threats to their health from infectious diseases and environmental hazards.  It does this by providing advice and information to the general public, to health professionals such as doctors and nurses, and to national and local government.  From April 2013 the HPA will become part of Public Health England.
The Agency identifies and responds to health hazards and emergencies caused by infectious disease, hazardous chemicals, poisons or radiation.  It gives advice to the public on how to stay healthy and avoid health hazards, provides data and information to government to help inform its decision making, and advises people working in healthcare.  It also makes sure the nation is ready for future threats to health that could happen naturally, accidentally or deliberately.

The Agency combines public health and scientific knowledge, research and emergency planning within one organisation – and works at international, national, regional and local levels. It also supports and advises other organisations that play a part in protecting health.

The Agency's advice, information and services are underpinned by evidence-based research. It also uses its research to develop new vaccines and treatments that directly help patients.  Although set up by government, the Agency is independent and provides whatever advice and information is necessary to protect people's health. The Agency exists to help protect the health of everyone in the UK; our ambition is to lead the way by identifying, pre paring for and responding to health threats.",http://www.hpa.org.uk/
Human Fertilisation and Embryology Authority,HFEA,Executive non-departmental public body,Department of Health,"Dedicated to licensing and monitoring UK fertility clinics and all UK research involving human embryos, and providing impartial and authoritative information to the public.",http://www.hfea.gov.uk/
Human Tissue Authority,HTA,Executive non-departmental public body,Department of Health,"The Human Tissue Authority (HTA) is a watchdog that supports public confidence by licensing organisations that store and use human tissue for purposes such as research, patient treatment, post-mortem examination, teaching, and public exhibitions. We also give approval for organ and bone marrow donations from living people.

Our aim is to set standards that are clear and reasonable, and in which both the public and professionals can have confidence.",http://www.hta.gov.uk/
Monitor – Independent Regulator of NHS Foundation Trusts,Monitor,Executive non-departmental public body,Department of Health,"Monitor is the independent regulator of NHS foundation trusts.

We were established in January 2004 to authorise and regulate NHS foundation trusts. We are independent of central government and directly accountable to Parliament.

There are three main strands to our work:

determining whether NHS trusts are ready to become NHS foundation trusts;
ensuring that NHS foundation trusts comply with the conditions they signed up to – that they are well-led and financially robust; and
supporting NHS foundation trust development.",http://www.monitor-nhsft.gov.uk/
Council for Healthcare Regulatory Excellence,CHRE,Executive non-departmental public body,Department of Health,,http://www.chre.org.uk
Wilton Park,Wilton Park,Executive agency,Foreign and Commonwealth Office,,http://www.wiltonpark.org.uk
FCO Services,FCOS,Executive Agency,Foreign and Commonwealth Office,"We design and deliver secure services that meet the demanding needs of governments in some of the most challenging environments across the globe. In addition to the FCO, existing customers include foreign governments and international organisations closely linked to the UK.
We put government security policy into action by providing government organisations with secure solutions. These include:
Secure ICT
Estates and Secure Construction
Protective Security
Cyber & Technical Security
Logistics
Translation and Interpreting
National Security Vetting",http://www.fcoservices.gov.uk/
Foreign Compensation Commission,FCC,Tribunal non-departmental public body,Foreign and Commonwealth Office,"The FCC is a tribunal established under the Foreign Compensation Act 1950 to assess the amount of compensation British claimants are entitled to under international and British law for losses suffered abroad.

The FCC has also helped in the settlement negotiations of British property losses overseas at the hands of foreign Governments. Where compensation is secured through diplomatic or other means, the FCC then determines the entitlement of claimants to compensation.

The FCC report provides a round-up of the Commission's judicial duties and administrative functions.",http://www.fco.gov.uk/en/publications-and-documents/publications1/annual-reports/foreign-compensation-commissio1/
Forest Enterprise (England),FEE,Executive Agency,Forestry Commission,"Forest Enterprise was the agency set up in 1996 to manage the nation’s forest estate. It ceased to exist as a single agency on March 31 2003 when three new agencies were created – one each for England, Scotland and Wales.

On 1 April 2004 Forest Enterprise Wales was wound up as anExecutive agency and reabsorbed back into the Forestry Commission. Responsibility for the management of the public forest estate, and delivery of forest operations on FC managed land, passed to Forestry Commission Wales.

The agencies in England and Scotland take their direction from their respective country governments but their basic remit is to provide environmental, social and economic benefits from the forests they manage. Each of the agencies has a ChiefExecutive who  reports to the Forestry Commission Country Director and who is responsible for the management of that country’s forests and woodlands. The head offices of the two agencies are in Bristol and Inverness. Local offices carry out the work on the ground.",http://www.forestry.gov.uk/forestry/HCOU-4U4HZU
Forest Enterprise (Scotland),FES,Executive Agency,Forestry Commission,"Forest Enterprise was the agency set up in 1996 to manage the nation’s forest estate. It ceased to exist as a single agency on March 31 2003 when three new agencies were created – one each for England, Scotland and Wales.

On 1 April 2004 Forest Enterprise Wales was wound up as anExecutive agency and reabsorbed back into the Forestry Commission. Responsibility for the management of the public forest estate, and delivery of forest operations on FC managed land, passed to Forestry Commission Wales.

The agencies in England and Scotland take their direction from their respective country governments but their basic remit is to provide environmental, social and economic benefits from the forests they manage. Each of the agencies has a ChiefExecutive who  reports to the Forestry Commission Country Director and who is responsible for the management of that country’s forests and woodlands. The head offices of the two agencies are in Bristol and Inverness. Local offices carry out the work on the ground.",http://www.forestry.gov.uk/forestry/HCOU-4U4HZU
Forest Research,FR,Executive Agency,Forestry Commission,"Our core roles are to provide the evidence base for UK forestry practices and to support innovation.

Our aims
To assist the Forestry Commission in achieving its high-level objectives.
On behalf of all three (devolved UK) administrations, to take the lead in development and promotion of sustainable forest management and to support its achievement internationally.
To support and enhance forestry and its role in sustainable development by providing high-quality research and development in a well-run organisation.
Our objectives
To inform and support forestry’s contribution to the development and delivery of the policies of the UK government and the devolved administrations.
To provide research, development and monitoring services relevant to UK forestry interests.
To transfer knowledge actively and appropriately.
How do we achieve the above?
Trees have a profound influence on our lives:

On our environment and health
On our access to green space
On our landscapes and their biodiversity
As a raw material for construction, fuel and other uses
On livelihoods and the rural economy.
Our portfolio of research and development is therefore diverse, as it covers all of the above.

We also provide a range of products and services to support the land management and environmental technologies sectors.

We work closely with the Forestry Commission, the EU Commission and other international organisations to ensure compliance with international agreements on the sustainable management of forests and related subjects.
",http://www.forestry.gov.uk/forestresearch
Valuation Office Agency,VOA,Executive Agency,HM Revenue & Customs,"The Valuation Office Agency is anExecutive agency of HM Revenue & Customs (HMRC). We provide the Government with the valuations and property advice required to support taxation and benefits. We also deliver a range of statutory and non-statutory valuation and surveying services to over 4,000 public sector bodies.

The Valuation Office was formed in 1910 and celebrated its centenary in 2010.",http://www.voa.gov.uk/corporate/index.html
UK Debt Management Office,DMO,Executive Agency,HM Treasury,"The UK Debt Management Office (DMO) was established on 1 April 1998 and management of the gilt market was transferred from the Bank of England to the DMO. This re-organisation followed the transfer of operational responsibility for setting official UK interest rates from HM Treasury to the Bank of England in May 1997. A record of the key events in the development of the DMO since December 1997 is contained in the DMO chronology. The DMO's remit is to carry out the Government's debt management policy of minimising financing costs over the long term, taking account of risk, and to minimise the cost of offsetting the Government's net cash flows over time, while operating in a risk appetite approved by Ministers in both cases.

In institutional terms, the DMO is legally and constitutionally part of HM Treasury (HMT), but as anExecutive agency, it operates at arm's length from Ministers. The Chancellor of the Exchequer determines the policy and financial framework within which the DMO operates, but delegates to the ChiefExecutive operational decisions on debt and cash management, and day-to-day management of the office.

The separate responsibilities of the Chancellor and other Treasury Ministers, the Permanent Secretary to the Treasury, and the DMO's ChiefExecutive are set out in a published Framework Document. The Document also sets out the DMO's strategic objectives (see below) and its ChiefExecutive's lines of accountability to Parliament. The ChiefExecutive is accountable for the DMO's performance and operations, both in respect of its administrative expenditure and the Debt Management Account (DMA) which records all the DMO’s issuance and trading transactions. The DMO publishes its Business Plan in April each year and this sets out a series of long-term targets for the year derived from the DMO's strategic objectives. The DMO’s strategic objectives and its operational targets for the current financial year can be accessed via the following two links.",http://www.dmo.gov.uk/
UK Financial Investments Limited,UKFI,Public corporation,HM Treasury,,http://www.ukfi.co.uk/
Office for Budget Responsibility,OBR,Executive non-departmental public body,HM Treasury,,http://budgetresponsibility.independent.gov.uk/
Office of Tax Simplification,OTS,Other,HM Treasury,,http://hm-treasury.gov.uk/ots.htm
Royal Mint,Royal Mint,Executive Agency,HM Treasury,,www.royalmint.com
Criminal Records Bureau,CRB,Executive Agency,Home Office,"The Criminal Records Bureau (CRB) is anExecutive agency of the Home Office set-up to help organisations make safer recruitment decisions.

Our work

This service enables organisations in the public, private and voluntary sectors to make safer recruitment decisions by identifying candidates who may be unsuitable for certain work, especially that involve children or vulnerable adults. The CRB was established under part five of the Police Act 1997 (Opens in a new window) and was launched in March 2002.

Before the CRB

Prior to 2002, access to police checks was mainly confined to organisations in the statutory sector for staff who had 'substantial unsupervised access' to children. There were many other organisations that could not access these checks and yet had staff with similar access to vulnerable groups. The CRB enables many more organisations to access these checks as part of good recruitment practice
",http://www.homeoffice.gov.uk/agencies-public-bodies/crb/
Identity and Passport Service,IPS,Executive Agency,Home Office,"Established in 2006, the Identity and Passport Service provides accurate and secure records of key events and trusted passport operations.

Our work

Put simply, the Identity and Passport Service (IPS) is 'one organisation with two services':

providing passport services for British nationals residing in the UK and, in association with our partners at the Foreign and Commonwealth Office, to those residing overseas
administering civil registration in England and Wales
Each year we issue over 5 million passports - exceeding our customer service performance targets. We provide a passport validation service (PVS) to support the business community and government departments in preventing fraud. We have seven regional passport offices and over 50 passport interview offices across the United Kingdom.

The General Register Office (GRO) joined with IPS in 2008. GRO oversees the system of civil registration in England and Wales: it administers the marriage laws and secures the provision of an efficient and effective system for the registration of births, stillbirths, adoptions, civil partnerships, marriages and deaths",http://www.homeoffice.gov.uk/agencies-public-bodies/ips/
UK Border Agency,UKBA,Executive Agency,Home Office,"The agency protects the UK border, and is one of the largest law enforcement agencies in the UK.

We are a global organisation with 23,500 staff - including more than 9,000 warranted officers - operating in local communities, at our borders and in about 130 countries worldwide.

Foreign nationals can apply for visas at more than 250 visa application centres worldwide. Many of these centres are run by our commercial partners.",http://www.ukba.homeoffice.gov.uk/
National Policing Improvement Agency,NPIA,Executive non-departmental public body,Home Office,"The National Policing Improvement Agency (NPIA) was formed in April 2007 to make a unique contribution to improving public safety.

Related Words

Corporate Information Downloads
NPIA KPI Technical Notes 2011-12
NPIA Response to the Winsor Review - Part 2
NPIA Response to the Winsor Review - Part 2 - Summary
Neyroud Review response to recommendations
Neyroud consultation response - questions
Business Plan 2011 - 2012
Annual Report and Accounts 2010/2011
Winsor Review Summary
Business Plan October 2010 - March 2011
Building Capability Strategy
Science and Innovation Strategy
Business Plan 2009 - 2010
Business Plan 2009 - 2010 Summary Leaflet
Business Plan 2010 - 2013
NPIA On A Page
Annual Report and Accounts 2009/10
Annual Report and Accounts 2008/09
NPIA Information Charter
Management Statement
NPIA Customer Guide
NPIA Response To The Winsor Review
NPIA Response To The Winsor Review - Summary
NPIA Progress Report For The Home Affairs Committee
Useful Web Links
Association of Chief Police Officers
Association of Police Authorities
Home Office
Link to Us
If you would like to link to our website, our logos are available here.


We are following the remit to improve public safety through the provision of:

Providing critical national services
Building capability across the police service
Providing professional expertise to police forces and authorities
On 26 July 2010 the new coalition Government published the consultation document, Policing in the 21st Century: Re-connecting the police and the people.

It sets out the government's vision for the most radical change to policing in fifty years. In response to the Government's consultation document, the agency's improvement priorities have been condensed into two main themes:

Cost Effectiveness
Critical National Services ",http://www.npia.police.uk/
Office of the Immigration Services Commissioner,OISC,Executive non-departmental public body,Home Office,"The Office of the Immigration Services Commissioner (OISC) is an independent, non-departmental public body set up under the Immigration and Asylum Act 1999.

The OISC's key responsibilities are:

regulating immigration advisers
promoting good practice by setting standards
accepting and addressing complaints about anyone giving immigration advice
prosecuting those who operate outside of the law
oversight of the regulation of those who give immigration advice and are regulated by one of the Designated Professional Bodies
The OISC does not provide immigration advice or recommend or endorse a specific adviser.",http://oisc.homeoffice.gov.uk/
Security Industry Authority,SIA,Executive non-departmental public body,Home Office,"The Security Industry Authority is the organisation responsible for regulating the private security industry. We are an independent body reporting to the Home Secretary, under the terms of the Private Security Industry Act 2001. Our mission is to regulate the private security industry effectively; to reduce criminality, raise standards and recognise quality service. Our remit covers the United Kingdom.

We have two main duties. One is the compulsory licensing of individuals undertaking designated activities within the private security industry; the other is to manage the voluntary Approved Contractor Scheme, which measures private security suppliers against independently assessed criteria.

SIA licensing covers manned guarding (including security guarding, door supervision, close protection, cash and valuables in transit, and public space surveillance using CCTV), key holding and vehicle immobilising. Licensing ensures that private security operatives are ‘fit and proper’ persons who are properly trained and qualified to do their job.

Our Approved Contractor Scheme introduced a set of operational and performance standards for suppliers of private security services. Those organisations that meet these standards are awarded Approved Contractor status. This accreditation provides purchasers of private security services with independent proof of a contractor's commitment to quality.",http://www.sia.homeoffice.gov.uk/Pages/home.aspx
Serious Organised Crime Agency,SOCA,Executive non-departmental public body,Home Office,"SOCA tackles serious organised crime that affects the UK and our citizens. This includes Class A drugs, people smuggling and human trafficking, major gun crime, fraud, computer crime and money laundering.
We work to put serious criminals behind bars, and use many other tactics to fight crime and keep you safe. In particular, we want to ensure crime doesn’t pay and that it’s harder to commit.
The power to counter criminals

SOCA officers can have the combined powers of police, customs and immigration officers. We also have a substantial range of tools and legislation to target criminals with – everything from the ability to recover assets through to Serious Crime Prevention Orders. We work with agencies and officials across the UK and all over the world to help us do our job and to help them do theirs.

New ways of fighting crime

We use traditional law enforcement methods – investigating, and arresting criminals. We also draw on innovative new approaches to prevent crimes from happening in the first place.

Here are some examples:

First class intelligence - we use all kinds of ways to gather the knowledge we need to know where, when and how to strike to best effect.

Monitoring serious career criminals - in some cases we watch them for life, to prevent them from continuing their criminal activities in prison or after release.

Hitting them where it hurts - by taking criminals’ cash and property. For many serious criminals, this worries them more than the prospect of going to prison.

Working in partnership - serious organised crime is a major problem that affects everyone every day, so we co-operate with law enforcement, public and private sector partners to counter it.

Worldwide operations - we go anywhere we need to when tackling criminal activity. For instance, a street drug dealer is just the last link in a chain that probably stretches to the other side of the world. So our activities aren’t limited by borders.

Making it harder to commit crime - for example, passing on details of suspicious financial activities or forged identities to banks before frauds can take place.",http://www.soca.gov.uk/
Office of Manpower Economics,OME,Executive non-departmental public body,Home Office,,http://www.ome.uk.com/
Forensic Science Service,FSS,Public corporation,Home Office,,http://www.forensic.gov.uk
National Fraud Authority,NFA,Executive non-departmental public body,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/nfa/
Office of Surveilance Commissioners,OSC,Executive non-departmental public body,Home Office,,http://surveillancecommissioners.independent.gov.uk/
Equality and Human Rights Commission,EHRC,Other,Home Office,,http://www.equalityhumanrights.com/
Investigatory Powers Tribunal,IPT,Executive non-departmental public body,Home Office,,http://www.ipt-uk.com/
Advisory Council on the misuse of drugs,ACMD,Advisory non-departmental public body,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/acmd/
Animal Procedures Committee,APC,Advisory non-departmental public body,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/apc/
Police Advisory Board for England and Wales,PAB,Advisory non-departmental public body,Home Office,,http://www.ome.uk.com/Police_Advisory_Board_for_England__Wales.aspx
Technical Advisory Board,TAB,Advisory non-departmental public body,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/tab/
Migration Advisory Committee,MAC,Advisory non-departmental public body,Home Office,,http://www.bia.homeoffice.gov.uk/aboutus/workingwithus/indbodies/mac/
National DNA Database Ethics Group,NDNAD,Advisory non-departmental public body,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/fsr/ndnad-ethics-group/
Police Arbitration Tribunal,PAT,Tribunal non-departmental public body,Home Office,,Not online?
Police Discipline Appeals Tribunal ,PDAT,Tribunal non-departmental public body,Home Office,,Not online?
Forensic Science Regulator,FSR,Other,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/fsr/
Criminal Records Bureau Independent Monitor,CRBIM,Other,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/crb/
HM Inspectorate of Constabulary,HMIC,Other,Home Office,,http://www.hmic.gov.uk/
Independent Reviewer of Terrorism Legislation,IRTL,Other,Home Office,,http://terrorismlegislationreviewer.independent.gov.uk/
Wimbledon and Putney Conservators,WPCC,Other,Home Office,,http://www.wpcc.org.uk/
Chief Inspector of the UK Border Agency,CIUKBA,Other,Home Office,,http://www.ukba.homeoffice.gov.uk/aboutus/workingwithus/indbodies/chiefinspector/
Forensic Science Regulator and Interim CCTV Regulator,FSR,Other,Home Office,,http://www.homeoffice.gov.uk/agencies-public-bodies/fsr/
Intelligence Services Commissioner,ISC,Other,Home Office,,https://www.mi5.gov.uk/output/intelligence-services-commissioner.html
Interception of Communications Commissioner,ICC,Other,Home Office,,https://www.mi5.gov.uk/output/interception-of-communications-commissioner.html
Independent Advisor for Criminality Information,IACI,Other,Home Office,,Not online
Defence Business Services National Security,DBS NSV,Executive agency,Ministry of Defence,,http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/SecurityandIntelligence/DVA/
"People, Pay and Pensions Agency",PPPA,Independent monitoring body,Ministry of Defence,,http://www.mod.uk/DefenceInternet/MicroSite/PPPA/WhatWeDo
Defence Science and Technology Laboratory,DSTL,Executive Agency,Ministry of Defence,"Dstl´s purpose is to maximise the impact of science and technology for the defence and security of the UK. Our role is to:

Supply sensitive and specialist science and technology services for the Ministry of Defence (MOD) and wider government.
Provide and facilitate expert advice, analysis and assurance to aid decision-making and to support MOD and wider government to be an intelligent customer.
Lead the formulation, design and delivery of a coherent and integrated MOD science and technology programme using industrial, academic and government resources.
Manage and exploit knowledge across the wider defence and security community, and understand science and technology risks and opportunities through horizon scanning.
Act as a trusted interface between MOD, wider government, the private sector, academia and allies to support military co-operation, capability delivery, diplomacy and economic policy.
Champion and develop science and technology skills across MOD, including managing the career of MOD scientists.
We lead and undertake those activities that it would be inappropriate to lead or carry out in the private sector and undertake those activities that must be done in government to sustain government's ability to be an intelligent customer and build productive relationships with the wider science and technology community.",https://www.dstl.gov.uk/
Defence Support Group,DSG,Executive Agency,Ministry of Defence,"DSG is one of the largest defence equipment support providers in the country. We have 3000 personnel dedicated to the core mission of providing high-quality and cost effective support to the UK Armed Forces.
Our wide range of capabilities plays a key part in the provision of cost-effective through life capability management. We have the in-house capability to strip, replace, repair, rebuild and assemble equipments ranging from binoculars and small arms through to large aircraft and armoured fighting vehicles. From maintenance, repair, overhaul and upgrades of key air and land equipment, mobile  and in-barracks equipment support, fleet management, calibration, electronics, components, logistic support solutions to spares procurement and provisioning our primary objective, coupled with extensive expertise gained over several decades, remains to extend the in-service life of equipment.

With an annual turnover in excess of £200 million and procurement activities over £200 million, work is undertaken from our network of strategically located sites throughout the UK. The Head Office provides strategic direction to our main sites in Bovington, Catterick, Colchester, Donnington, Sealand, Stafford, St Athan, Stirling and Warminster. Smaller support sites located in Aldershot, Bicester, Kinnegar and Sennybridge further enhance our geographic coverage. Small teams are also permanently embedded in other military locations around the UK, as well as supporting operations at home and abroad, offering customers comprehensive support wherever they may be.

At the heart of DSG are our people; they are pivotal to our reputation and success. Their skills and expertise make DSG a lean and forward thinking business with an impressive pedigree of military capabilities.",http://www.dsg.mod.uk/
Ministry of Defence Police and Guarding Agency,MDPGA,Executive Agency,Ministry of Defence,"When the MOD Police & Guarding Agency was created in its present form in April 2004, it brought together the existing MOD Police Agency (MDP) and the MOD Guard Service (MGS), with the objective of forming a cohesive security organisation available to the whole of the Defence estate.


MOD Police and MOD Guards working together
About the MDPGA
Protection of defence personnel and assets requires an understanding of the armed forces and of the MOD and its working methods, as well as close working relationships with other policing and physical security resources in the MOD.

Together the two organisations, MDP and MGS, now form a single intelligence community with joint Control Rooms and shared strategies for the management of security risk across the defence estate.

The MOD Police force (MDP) is a statutory police force under the Ministry of Defence Police Act 1987. In 1996, the Force acquired Agency status within the MOD, and was then expanded in 2004 to include the uniformed MOD Guard Service (MGS).

Renamed the MOD Police & Guarding Agency (MDPGA), the Agency incorporates the two main physical security services within the MOD.

MOD Police and MOD Guards providing security to the Defence estate
Agency Role
The Agency's Role as defined in its Corporate Plan is: Delivering Effective Policing and Guarding as part of the UK's Defence capability.The focus of all Agency activity is to counter the following main crime and security risks faced by the MOD:

Terrorist attack and the threat of attack
Disruption and disorder caused by protestors
Theft of key assets
Major financial fraud
Unauthorised intrusion onto the Defence Estate
The MDP supplies specialised civilian policing services to the whole of the MOD community, both military and civilian units. It also supports the Defence Vision (A Force for Good in the World) by contributing to international policing in countries such as Kosovo, Iraq and Afghanistan where its principal role is to help develop a model for human rights-based local policing, by training and mentoring local recruits.

The MGS role is to provide unarmed guarding and access control services to MOD units across the UK. It guards over 200 sites including the MOD HQ in London, the nuclear submarine base at HM Naval Base Clyde, and the RAF stations at Menwith Hill and Fylingdales.


Agency Outputs

Protection of the UK's Strategic Nuclear Deterrent
Defence Business Continuity: the ability to reinforce the protection of Defence personnel and property
Defensive Armed Policing: the capability to deter and to respond to an armed attack on Defence personnel and property
Uniformed policing: the effective use of police powers to deter, detect and respond to crime and disorder
Guarding: the provision of unarmed guarding and access control to Defence personnel and property
Crime investigation: the prevention, detection and investigation of crime that impacts significantly against Defence capability, and the recovery of stolen assets
International capability: the contribution of specialist policing expertise in support of wider Defence and foreign policy objectives
Policy: contributing to Defence policing and guarding policy
",http://www.mod.uk/DefenceInternet/AboutDefence/WhatWeDo/SecurityandIntelligence/MDPGA/
