# Name,Description,Type,Status,Logo formatted name,Slug
United Kingdom Border Agency,"The UKBA was responsible for the issuing of visas and for managing the UK's borders. It was an executive agency of the Home Office, from 2013 its responsibilities were split between two directorates of the Home Office.",executive_agency,Closed,United Kingdom Border Agency,united-kingdom-border-agency
Valuation and Lands Agency,The Agency was responsible for valuing properties subject to rates in Northern Ireland. It is now a part of the Land and Property Services agency.,executive_agency,Closed,Valuation and Lands Agency,valuation-and-lands-agency
Varney Review,The review by Sir David Varney was setup to look at the way government used technology to deliver services to the public.,other,Closed,Varney Review,varney-review
Veterinary Laboratories Agency,"The Agency carried out animal disease surveillance, diagnostic services and veterinary scientific research for government and commercial organisations. It was merged with Animal Health in 2011 to form the Animal Health and Veterinary Laboratories Agency.",executive_agency,Closed,Veterinary Laboratories Agency,veterinary-laboratories-agency
Veterinary Residues Committee,The Veterinary Residues Committee is an independent scientific advisory committee that advises government on the testing of foods from animals to look for residues of veterinary medicines and banned substances.,other,Closed,Veterinary Residues Committee,veterinary-residues-committee
Victoria Climbi_ Inquiry,The inquiry was established to investigate the circumstances surrounding the death of Victoria Climbi_ in 2000.,other,Closed,Victoria Climbi_ Inquiry,victoria-climbie-inquiry
Wakefield Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Wakefield Education Action Zone,wakefield-education-action-zone
Warship Support Agency,The Warship Support Agency (WSA) was a non-executive agency within the Defence Logistics Organisation (DLO) of the UK Ministry of Defence. ,executive_agency,Closed,Warship Support Agency,warship-support-agency
Water Service (Northern Ireland),Water Service is an Executive Agency within the Department for Regional Development. The Department has statutory responsibility for the provision of water and sewerage services under the Water and Sewerage Services (Northern Ireland) Order 1973. The Water Service on behalf of the Department exercises these responsibilities. ,executive_agency,Closed,Water Service (Northern Ireland),water-service-northern-ireland
Water Services Regulation Authority,The Water Services Regulation Authority now operates as Ofwat.,other,Closed,Water Services Regulation Authority,water-services-regulation-authority
Waterways Ireland,"Waterways Ireland was established under the Belfast Agreement in 1999.  It is responsible for the management, maintenance, development, and restoration of inland navigable waterways primarily for recreational purposes. ",other,Closed,Waterways Ireland,waterways-ireland
Wednesbury Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Wednesbury Education Action Zone,wednesbury-education-action-zone
Welsh Office,The Welsh Office now operates as the Wales Office,other,Closed,Welsh Office,welsh-office
Western Education and Library Board,"The Western Education and Library Board is the local authority for the provision of education, library and youth services in the District council areas of Derry, Fermanagh, Limavady, Omagh and Strabane.",other,Closed,Western Education and Library Board,western-education-and-library-board
Western Health and Social Services Board,The Board is one of five in Northern Ireland responsible for providing health care services,other,Closed,Western Health and Social Services Board,western-health-and-social-services-board
Westminster Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Westminster Education Action Zone,westminster-education-action-zone
Withernsea and Southern Holderness Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Withernsea and Southern Holderness Education Action Zone,withernsea-and-southern-holderness-education-action-zone
Wolverhampton Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Wolverhampton Education Action Zone,wolverhampton-education-action-zone
Working Ventures UK,Working Ventures UK was an employer-led organisation which advises the Government on labour market policies and performance. Its principle objective was to help disadvantaged people move from poverty into jobs that contribute to business productivity and growth. WVUK ceased operations in 2009.,other,Closed,Working Ventures UK,working-ventures-uk
Wythenshawe Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Wythenshawe Education Action Zone,wythenshawe-education-action-zone
Yorkshire and Humber Sustainable Futures Company Limited,The Company was responsible for promoting sustainable development. It was a subsiduary company of Yorkshire Forward regional development agency.,executive_agency,Closed,Yorkshire and Humber Sustainable Futures Company Limited,yorkshire-and-humber-sustainable-futures-company-limited
Yorkshire Forward,Yorkshire Forward was the regional development agency for the Yorkshire and the Humber region. It was abolished in 2012.,executive_agency,Closed,Yorkshire Forward,yorkshire-forward
Young People's Learning Agency,The Young People's Learning Agency was responsible for funding further education for 16-19 year olds in England. It was abolished in 2012 with responsibilities transferring to the Education Funding Agency.,executive_agency,Closed,Young People's Learning Agency,young-peoples-learning-agency
Youth Justice Agency of Northern Ireland,The Youth Justice Agency aims to make communities safer by helping children to stop offending. The Agency works with children aged 10-17 years who have offended or are at serious risk of offending.,executive_agency,Closed,Youth Justice Agency of Northern Ireland,youth-justice-agency-of-northern-ireland
Zahid Mubarek Inquiry,The inquiry was setup to investigate the circumstances surrounding the murder of Zahid Mubarek at Feltham Young Offenders Institute in 2000.,other,Closed,Zahid Mubarek Inquiry,zahid-mubarek-inquiry
Qualifications and Curriculum Authority,"QCA was responsible for maintaining and developing the national curriculum and associated assessments, tests and examinations; and accredited and monitored qualifications in colleges and at work.",executive_agency,Closed,Qualifications and Curriculum Authority,qca
National Museums of Scotland,National Museums Scotland (NMS) is an executive non-departmental public body of the Scottish Government. It runs the national museums of Scotland.,other,Closed,National Museums of Scotland,national-museums-of-scotland
Kitts Green and Shard End Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and ",other,Closed,Kitts Green and Shard End Education Action Zone,kitts-green-and-shard-end-education-action-zone
Forest Service,The Forest Service is an Executive Agency within the Department of Agriculture and Rural Development.,other,Closed,Department of Agriculture and Rural Development,forest-service
Her Majesty's Magistrates Courts Servuce Inspectorate,"Her Majesty's Magistrates Courts Service Inspectorate (MCSI) was responsible for the inspection of the systems that support the Crown, county and magistrates' courts in England and Wales.",other,Closed,Her Majesty's Magistrates Courts Servuce Inspectorate,hm-magistrates-courts-service-inspectorate
Public Lending Right Office,PLR was established by the Public Lending Right Act 1979 which gave British authors a legal right to receive payment for the free lending of their books by public libraries. The PLR office is now a part of the British Library,other,Closed,Public Lending Right Office,public-lending-right-office
Loughs Agency,"The Agency aims to provide sustainable social, economic and environmental benefits through the effective conservation, management, promotion and development of the fisheries and marine resources of the Foyle and Carlingford Areas.",other,Closed,Loughs Agency,loughs-agency
Administrative Justice and Tribunals Council,"The AJTC was created to be the independent and authoritative voice to monitor and improve the way public bodies make decisions affecting individuals and the workings of redress mechanisms, including tribunals. It was abolished in August 2013",other,Closed,Administrative Justice and Tribunals Council,administrative-justice-and-tribunals-council
Board of Banking Supervision,The Board was established to review the circumstances that lead to the collapse of Barings Bank,other,Closed,Board of Banking Supervision,board-of-banking-supervision
Ancient Monuments Board for Scotland,The Board was established under the Ancient Monuments and Archaeological Areas Act 1979 to advise the Secretary of State on their functions under the Act.,other,Closed,Ancient Monuments Board for Scotland,ancient-monuments-board-for-scotland
Gaming Board for Great Britain,"The Board was responsible for regulating arcades, betting, bingo,  casinos, slot machines and lotteries. It was replaced by the Gambling Commission in 2007.",other,Closed,Gaming Board for Great Britain,gaming-board-for-great-britain
Broadcasting Standards Commission,The Broadcasting Standards Commission was the statutory body for both standards and fairness in broadcasting. It was replaced by Ofcom in 2003.,other,Closed,Broadcasting Standards Commission,broadcasting-standards-commission
Lord Chancellor's Advisory Committee on Legal Aid in Northern Ireland,The committee was responsible for overseeing the administration of legal aid in Northern Ireland,other,Closed,Lord Chancellor's Advisory Committee on Legal Aid in Northern Ireland,lord-chancellors-advisory-committee-on-legal-aid-in-northern-ireland
Polytechnics and Colleges Funding Council,The council was responsible for allocating funding to polytechnic universities. It was replaced in 1992 by the Higher Education Funding Council for England.,other,Closed,Polytechnics and Colleges Funding Council,polytechnics-and-colleges-funding-council
Alcohol Education and Research Council,The Council was responsible for funding research into alcohol related harm. The functions of the council were transferred to a new charity Alcohol Research UK in 2011,other,Closed,Alcohol Education and Research Council,alcohol-education-and-research-council
"Department of the Environment, Transport and the Regions","The department was created in 1997 to replace the Department of the Environment, Ministry of Agriculture, Fisheries and Food and Department for Transport. It was dissolved in 2001.",other,Closed,"Department of the Environment, Transport and the Regions",department-of-the-environment-transport-and-the-regions
Department of National Heritage,"The DNH was created in 1992, to amalgamate a number of functions related to the arts, broadcasting, film, sport, architecture and historic sites, royal parks and tourism. It was replaced by DCMS in 1997.",other,Closed,Department of National Heritage,department-of-national-heritage
Chemical and Biological Defence Establishment,The Establishment was responsible for overseeing research to enable the armed forces to be able to operate effectively within a  chemical and biological warfare environment.,other,Closed,Chemical and Biological Defence Establishment,chemical-and-biological-defence-establishment
Examination team on child care procedures and practice in North Wales,The examination reviewed the provision of childcare and the employment of staff in the Social Services Departments of Gwynedd and Clwyd,other,Closed,Examination team on child care procedures and practice in North Wales,examination-team-on-child-care-procedures-and-practice-in-north-wales
Further and Higher Education Funding Councils for Wales,The Higher and Further Education Funding Councils were the two organisations responsible for the allocation of funds made available for the purposes of education and research.,other,Closed,Further and Higher Education Funding Councils for Wales,further-education-funding-council-for-wales
Office of the Identity Commissioner,The Identity Commissioner was the regulator of the National Identity Card Scheme.,other,Closed,Office of the Identity Commissioner,office-of-the-identity-commissioner
Inquiry into an allegation of a conspiracy to pervert the course of justice in Scotland,The Inquiry was established to investigate allegations of a conspiracy to pervert the course of justice.,other,Closed,Inquiry into an allegation of a conspiracy to pervert the course of justice in Scotland,inquiry-into-an-allegation-of-a-conspiracy-to-pervert-the-course-of-justice-in-scotland
Equitable Life Inquiry,The Inquiry was established to look at the Financial Services Authority's regulation of Equitable Life until 1999 and the supervisory work carried out up until December 2000.,other,Closed,Equitable Life Inquiry,equitable-life-inquiry
Inquiry into child care policies in Fife,The inquiry was established to review the actions and policies of the Social Work Department in Fife.,other,Closed,Inquiry into child care policies in Fife,inquiry-into-child-care-policies-in-fife
Inquiry into the supervision of the Bank of Credit and Commerce International,The inquiry was set up to enquire into the supervision of BCCI under the Banking Acts to consider whether the action taken by all the UK authorities was appropriate and timely.,other,Closed,Inquiry into the supervision of the Bank of Credit and Commerce International,inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international
Inquiry into the removal of children from Orkney in February 1991,The Inquiry was set up to review the circumstances in which children from four families were moved to places of safety following allegations made by children of another family.,other,Closed,Inquiry into the removal of children from Orkney in February 1991,inquiry-into-the-removal-of-children-from-orkney-in-february-1991
Natural Resources Institute,The Institute was responsible for assisting developing countries to improve the productivity and sustainable management of their renewable natural resources. The Institute became a part of the University of Greenwich in May 1996.,other,Closed,Natural Resources Institute,natural-resources-institute
Office of the Lay Observer,The Lay Observer was responsible for investigating allegations made by the public regarding the Law Society's treatment of complaints against the conduct of solicitors.,other,Closed,Office of the Lay Observer,office-of-the-lay-observer
Lord Chancellor's Advisory Committee on Legal Education and Conduct,"The Lord Chancellor's Advisory Committee on Legal Education and Conduct (ACLEC) was an advisory board established by the Courts and Legal Services Act 1990 and tasked with assisting in the maintenance and development of standards in the education, training and conduct of those offering legal services. It was broken up in 1999.",other,Closed,Lord Chancellor's Advisory Committee on Legal Education and Conduct,advisory-committee-on-legal-education-and-conduct
Nature Conservancy Council,The NCC was responsible for designating and managing National Nature Reserves and other nature conservation areas in Great Britain between 1973 and 1991.,other,Closed,Nature Conservancy Council,nature-conservancy-council
Professional Standards Authority for Health and Social Care,"The Professional Standards Authority for Health and Social Care promotes the health, safety and well-being of users of health and social care services. It aims to be a strong, independent voice for service users and the public in the regulation of health and care professionals throughout the UK.",other,Pending,Professional Standards Authority for Health and Social Care,professional-standards-authority-for-health-and-social-care
Baha Mousa Inquiry,"The terms of reference for the inquiry were ""to investigate and report on the circumstances surrounding the death of Baha Mousa and the treatment of those detained with him, taking account of the investigations which have already taken place, in particular where responsibility lay for approving the practice of conditioning detainees by any members of the 1st Battalion, The Queen's Lancashire Regiment in Iraq in 2003, and to make recommendations."" ",other,Closed,Baha Mousa Inquiry,baha-mousa-inquiry
Azelle Rodney Inquiry,"The terms of reference for the inquiry were 'to ascertain by inquiring how, where and in what circumstances Azelle Rodney came by his death on 30 April 2005 and then to make any such recommendations as may seem appropriate.ê ",other,Closed,Azelle Rodney Inquiry,azelle-rodney-inquiry
Patrick Finucane Review,"The terms of reference for the review were to draw 'from the extensive investigations that have already taken place, to produce a full public account of any involvement by the Army, the Royal Ulster Constabulary, the Security Service or other UK Government body in the murder of Patrick Finucane.'",other,Closed,Patrick Finucane Review,patrick-finucane-review
Scottish Hospital Trust,The trust was responsible for distributing income and property transferred to it among Health Boards and NHS Trusts.,other,Closed,Scottish Hospital Trust,scottish-hospital-trust
Wales Audit Office,The WAO is the public money watchdog in Wales and ensures that public bodies spend money wisely,other,Closed,Wales Audit Office,wales-audit-office
Welsh Development Agency,"The WDA was responsible for encouraging business development and investment in Wales, clearing derelict land and encouraging growth of local businesses. It was abolished in 2006.",other,Closed,Welsh Development Agency,welsh-development-agency
Administrative Justice and Tribunals Council Welsh Committee,"The Welsh Committee of the AJTC was created to be the independent and authoritative voice to monitor and improve the way public bodies make decisions affecting individuals and the workings of redress mechanisms, including tribunals. It was abolished in August 2013",other,Closed,Administrative Justice and Tribunals Council Welsh Committee,administrative-justice-and-tribunals-council-welsh-committee
Royal Liverpool Childrens Inquiry,"In December 1999 an Inquiry Panel was appointed to investigate the removal, retention and disposal of human organs and tissues following post mortem examination at The Royal Liverpool Children's Hospital.",other,Closed,Royal Liverpool Childrens Inquiry,royal-liverpool-childrens-inquiry
UK Passport Service,The UK Passport Service now operats as Identity and Passport Service,other,Closed,UK Passport Service,uk-passport-service
Health Development Agency,"The Health Development Agency was a special health authority established in 2000 to develop the evidence base to improve health and reduce health inequalities. It worked in partnership with professionals and practitioners across a range of sectors to translate that evidence into practice.
As a result of the Department of Health's 2004 review of its ""arms length bodies"", the functions of the HDA were transferred to NICE on 1 April 2005.",other,Closed,Health Development Agency,health-development-agency
Independent Television Commission,The Independent Television Commission (ITC) licensed and regulated commercial television services in the United Kingdom (except S4C in Wales) between 1 January 1991 and 28 December 2003.,other,Closed,Independent Television Commission,independent-television-commission
Lord Chancellors Advisory Committee on Legal Education Conduct,The Lord Chancellor's Advisory Committee on Legal Education and Conduct (ACLEC) was an advisory board established by the Courts and Legal Services Act 1990. It was replaced by the Legal Services Consultative Panel.,other,Closed,Lord Chancellors Advisory Committee on Legal Education Conduct,lord-chancellors-advisory-committee-on-legal-education-conduct
Royal Mail,"The Royal Mail was formerly a Public Corporation. Following the Postal Services Act 2011, the Royal Mail was privatised.",public_corporation,Closed,Royal Mail,royal-mail
Office of HM Paymaster General,"In 2008, the government announced that the Office of the Paymaster General would be incorporated into a new body, the Government Banking Service.",other,Closed,Office of HM Paymaster General,office-of-hm-paymaster-general
